Name	HUCZ	CBTG	FGWY	KPAQ	OEPG	QAJI
HQWW	84	5	0	8	0	3
DMOZ	19	80	0	0	0	1
CJYM	9	64	11	7	1	8
DKBH	66	8	25	0	0	1
OJKF	16	75	5	1	0	3
QPFS	51	29	11	5	0	4
ZVOD	43	19	4	29	1	4
BWVI	97	1	1	0	0	1
OXEA	83	14	1	1	0	1
ZLXM	69	0	3	0	22	6
OKYA	9	27	35	16	5	8
KHQQ	83	16	0	0	0	1
YYZS	65	21	6	0	3	5
LPEV	20	78	1	0	0	1
ZNUX	47	13	16	2	11	11
GJPX	78	14	1	1	0	6
VVTH	57	42	0	0	0	1
GPCQ	83	8	7	1	0	1
YBMS	30	39	3	5	16	7
VOVM	57	2	38	2	0	1
JRYV	1	37	17	7	19	19
KPOC	5	5	13	22	5	50
OCNE	18	31	13	2	19	17
ETAB	71	24	0	2	0	3
PDBC	42	8	2	33	8	7
FSNT	34	18	45	1	1	1
YFMO	54	44	1	0	0	1
MJXR	5	55	0	22	2	16
BMRK	12	42	37	0	3	6
BKKT	8	32	57	0	0	3
OAPC	25	21	39	8	2	5
RNRX	73	20	1	5	0	1
FOBA	73	13	8	4	1	1
ATHO	72	26	0	0	1	1
OYFJ	66	18	2	1	7	6
RDRQ	58	7	15	14	3	3
FNHC	46	24	16	10	3	1
BDUS	59	11	6	14	9	1
SWXN	88	7	4	0	0	1
CJEC	9	89	0	0	1	1
GLMT	81	17	1	0	0	1
UZNK	41	58	0	0	0	1
RRRR	18	42	31	4	1	4
QZBU	29	34	12	24	0	1
MYAY	78	17	3	0	1	1
DRYE	88	4	0	5	1	2
HOGZ	97	1	1	0	0	1
YZRB	5	40	44	8	2	1
WSXV	5	3	48	27	13	4
KMCS	71	15	0	0	5	9
YMYR	35	44	15	4	0	2
HCQN	36	9	29	5	0	21
OLNF	44	19	20	3	8	6
AGGD	1	97	1	0	0	1
WEJF	11	32	49	1	3	4
EWCY	16	41	21	10	7	5
YSBP	13	14	5	48	8	12
XECQ	53	22	22	2	0	1
RJID	34	13	43	3	2	5
NCBT	62	20	6	0	2	10
EGBE	13	35	47	4	0	1
LNIQ	1	49	22	23	0	5
IUJV	78	16	5	0	0	1
JDNO	29	32	11	20	3	5
ZMFX	21	31	6	15	23	4
ZWBO	30	54	6	0	2	8
VIMH	33	38	22	3	3	1
NWFX	34	18	3	20	9	16
XKPZ	70	12	15	2	0	1
OUVT	16	21	10	25	11	17
YSDQ	14	57	17	7	2	3
QCNU	48	43	3	2	2	2
SVQB	41	26	29	0	2	2
ZUSZ	71	24	4	0	0	1
FHGX	37	6	51	1	3	2
DUIZ	32	46	13	4	3	2
TWHR	74	24	1	0	0	1
URJR	89	3	0	1	1	6
JULN	15	16	45	17	2	5
LZLB	35	15	10	4	9	27
LNNI	99	0	0	0	0	1
KMXY	90	1	4	1	2	2
EFSC	2	0	52	22	15	9
JTID	45	42	1	7	3	2
RBUS	25	1	47	6	5	16
NMBI	55	4	22	0	17	2
NJNN	78	11	1	9	0	1
FHAD	86	3	5	4	0	2
XMZS	46	41	9	0	0	4
OAEG	57	18	21	2	0	2
DEGH	58	13	18	4	6	1
GJPU	86	10	3	0	0	1
XVXT	76	18	2	2	1	1
FZSP	26	21	52	0	0	1
YPXQ	7	2	73	9	5	4
KTEK	34	60	5	0	0	1
KKKN	79	0	9	4	3	5
HQCI	81	10	1	7	0	1
RHTW	92	1	0	0	5	2
TUQU	73	8	10	5	3	1
FLVW	21	52	15	6	5	1
OCYQ	28	29	37	1	3	2
ZNME	41	42	4	9	2	2
VMXU	74	5	13	7	0	1
GVBC	29	27	15	15	13	1
VDNF	92	4	2	1	0	1
KBAC	57	22	1	14	0	6
ZTJT	96	1	2	0	0	1
PWGC	81	16	2	0	0	1
BPOJ	16	12	10	15	39	8
LDGO	3	53	15	10	14	5
QCDD	31	20	5	1	31	12
VHGD	37	8	51	3	0	1
MQPF	59	29	6	2	1	3
EBVR	76	11	1	1	4	7
LYHH	25	10	27	11	25	2
PITC	59	1	16	20	2	2
EKML	59	35	4	1	0	1
XDNU	3	25	54	9	0	9
WFJL	79	5	12	3	0	1
TBMU	28	64	5	2	0	1
WZIL	47	15	6	16	2	14
KUHM	34	5	60	0	0	1
JSQF	68	20	8	0	3	1
MCWQ	5	9	48	33	2	3
SLSB	27	19	6	16	4	28
WGSK	79	15	1	1	0	4
BRHS	72	12	6	6	1	3
HUTE	92	3	2	0	0	3
YILJ	7	32	29	26	4	2
FCID	39	42	16	1	0	2
GASH	66	19	12	2	0	1
KSIG	84	8	5	0	0	3
USPY	21	70	5	0	2	2
CEJB	28	31	11	9	5	16
KQQW	50	12	30	0	1	7
MYGU	49	4	29	1	13	4
PHUV	67	15	17	0	0	1
EIKX	96	2	0	0	1	1
KXFJ	16	10	56	2	3	13
JHRH	42	10	31	11	0	6
MOZE	88	8	2	1	0	1
SPZS	57	11	13	4	2	13
OFDR	6	49	9	22	6	8
ZWXG	22	21	27	22	5	3
SFAM	77	12	4	0	3	4
GQSK	87	2	10	0	0	1
XVNL	96	1	0	1	1	1
WMJS	23	63	8	4	1	1
DCLO	28	1	69	1	0	1
TOAS	24	9	53	8	5	1
DHGU	17	14	56	6	4	3
ENKX	81	3	3	11	0	2
AJOM	46	0	14	22	0	18
SDFG	91	5	3	0	0	1
TJXG	74	19	3	3	0	1
PVTV	50	19	3	21	1	6
JQVG	51	29	2	1	6	11
JYQS	98	0	1	0	0	1
CTPU	6	63	18	8	3	2
HXQV	13	12	32	22	17	4
QMWH	12	57	11	1	16	3
UXWK	7	4	81	0	0	8
QPPD	66	29	4	0	0	1
TNUM	28	32	21	2	16	1
PUQY	40	59	0	0	0	1
WXVP	91	1	1	5	1	1
GMVZ	42	15	19	14	5	5
BIPK	84	15	0	0	0	1
JREP	32	59	0	0	8	1
KEPR	33	32	18	5	7	5
DPJJ	49	40	4	5	0	2
DMBW	51	29	17	2	0	1
TQEY	89	4	2	0	2	3
YJZD	87	6	2	4	0	1
WAEK	16	48	14	20	1	1
XNRZ	80	11	3	4	1	1
MESY	4	42	18	16	7	13
MAPN	56	25	17	0	1	1
YIMP	55	42	2	0	0	1
UYOK	75	2	19	3	0	1
ZYZT	6	65	5	22	1	1
XKYB	7	73	16	1	1	2
FXQU	2	62	32	2	1	1
VBHN	64	27	7	1	0	1
UFHU	39	38	0	0	0	23
PSWU	56	14	19	7	3	1
CEXI	83	8	1	3	4	1
QKTE	22	9	49	1	4	15
EKNZ	77	0	14	2	5	2
QANY	84	15	0	0	0	1
ELJT	59	0	32	3	3	3
GKMT	6	47	4	21	5	17
JCKX	69	16	10	2	1	2
ISOU	31	34	12	12	6	5
WKVN	20	31	19	11	17	2
IWZZ	84	5	7	1	1	2
JGTV	6	3	61	13	11	6
CLCZ	41	30	26	0	0	3
LWXA	50	15	20	5	6	4
JIWF	7	76	14	2	0	1
WAIU	83	12	3	0	1	1
WILL	10	55	8	7	12	8
SJTL	24	54	7	4	1	10
VWJG	11	38	12	1	7	31
TQBD	29	13	22	26	0	10
FXGG	95	3	0	0	1	1
NKUQ	42	30	18	8	0	2
OPFA	21	5	31	20	14	9
OOBO	5	47	33	1	5	9
WPXP	5	90	4	0	0	1
KDFN	50	20	22	6	0	2
UFSE	80	9	1	6	2	2
OYJH	91	2	1	4	0	2
NYNH	21	39	18	0	7	15
KBBR	80	4	5	10	0	1
RSUL	43	24	11	5	13	4
GDFY	35	47	1	4	11	2
QMZF	72	22	0	4	1	1
OXDE	93	6	0	0	0	1
NBNC	94	5	0	0	0	1
DMSI	55	24	7	10	1	3
YMZZ	30	48	19	2	0	1
PCFG	56	38	3	1	0	2
JNOA	48	26	23	0	0	3
WFJP	81	4	8	2	0	5
CNTV	21	12	41	2	2	22
SWXV	67	31	0	1	0	1
WYZM	9	26	27	0	21	17
AAHZ	68	4	23	2	0	3
KNIK	38	22	15	5	2	18
IAOK	23	63	0	9	2	3
AQKM	42	11	27	12	0	8
WSFU	98	0	1	0	0	1
WMOQ	7	81	1	0	0	11
APUL	95	0	3	1	0	1
RYCD	82	13	1	2	1	1
YOAK	55	12	11	3	3	16
YKOO	29	24	8	21	0	18
IKTF	13	13	14	10	49	1
KTQU	34	35	11	4	8	8
ZPBM	11	70	15	2	0	2
JDRT	93	1	4	1	0	1
TSLW	22	30	14	31	1	2
OEBA	16	5	65	2	11	1
ZVHZ	41	25	25	7	0	2
IRVJ	4	38	22	22	7	7
CCJR	18	15	25	9	18	15
IJZP	90	7	0	2	0	1
WUIZ	13	35	18	32	0	2
PECR	63	19	9	6	0	3
OIQC	58	7	31	1	1	2
BTTC	4	27	20	25	20	4
FCZZ	30	15	50	3	0	2
LRSL	4	15	51	23	3	4
LTFD	9	66	23	0	0	2
MNDV	36	6	40	6	7	5
DPAL	17	67	1	6	6	3
TQRP	45	14	34	5	1	1
QBZG	1	0	98	0	0	1
YQIP	74	18	4	2	0	2
LAPK	1	64	0	7	18	10
OXBW	96	2	0	0	0	2
QWOA	43	42	8	1	4	2
KDXZ	9	86	0	2	2	1
EGBI	22	62	5	4	3	4
FBRU	27	50	9	12	1	1
QKPV	84	13	2	0	0	1
UOUD	77	12	7	0	3	1
GHRT	67	32	0	0	0	1
EPVE	58	9	10	10	0	13
FIKF	51	28	14	3	3	1
TCHC	9	11	73	1	3	3
ZWTQ	63	18	13	4	0	2
GPYO	79	6	8	3	3	1
JAUB	5	12	5	36	11	31
VBMS	27	31	28	4	5	5
HPSY	49	42	4	2	2	1
YEHZ	57	25	5	7	0	6
TXUP	54	8	8	27	1	2
ONIN	90	4	4	0	1	1
CLOY	52	28	3	1	4	12
ZVMX	39	43	5	11	0	2
URBN	70	17	2	10	0	1
QLGV	24	24	35	3	1	13
PUJF	42	24	29	1	0	4
DRDP	22	77	0	0	0	1
WOSY	74	14	8	2	1	1
AEPE	20	14	39	19	0	8
CPGQ	65	16	10	0	2	7
UAFG	85	4	8	2	0	1
KQBV	52	42	4	1	0	1
MZLY	0	51	44	4	0	1
IGXG	41	39	4	14	1	1
MUHH	40	22	20	3	1	14
AGBJ	87	10	1	0	0	2
WVAR	35	62	2	0	0	1
SDFK	60	25	5	2	0	8
UEPC	42	46	5	6	0	1
HYJC	84	5	6	1	0	4
MUKI	32	67	0	0	0	1
VQRL	99	0	0	0	0	1
MUKF	23	37	12	19	4	5
GQHW	79	5	9	6	0	1
QLWP	30	43	19	4	0	4
ZWYT	35	13	25	2	14	11
RGOY	1	63	18	9	1	8
TZVK	85	1	2	1	2	9
AXMU	49	32	4	5	8	2
NNHC	39	42	12	6	0	1
XSKF	7	72	9	11	0	1
KOZV	57	10	0	15	3	15
CWTY	67	22	8	0	0	3
XROD	72	26	0	0	0	2
UUVS	35	33	31	0	0	1
VRXA	9	82	4	2	0	3
WYBT	42	4	40	7	2	5
BGVB	35	19	40	1	3	2
KJNG	95	4	0	0	0	1
CXOR	66	4	27	1	0	2
IBJT	95	4	0	0	0	1
YUIQ	14	76	2	0	1	7
NPAG	85	6	6	1	1	1
TKOS	12	62	25	0	0	1
JQLR	3	3	16	72	1	5
AMTR	45	31	21	1	0	2
ICFX	1	30	14	25	15	15
BGRP	63	22	11	3	0	1
UVOZ	6	87	1	4	0	2
XBYA	79	14	4	1	0	2
YLQD	48	29	11	1	7	4
NLWD	93	4	0	0	1	2
LJAG	62	11	4	7	6	10
OBLZ	91	8	0	0	0	1
VRIA	45	52	0	2	0	1
HTDI	89	7	0	0	1	3
LRVI	97	0	0	2	0	1
GONW	99	0	0	0	0	1
GLXB	1	83	0	13	1	2
HFEU	85	10	3	1	0	1
OMRE	84	8	7	0	0	1
ULTZ	12	52	7	24	3	2
KJRZ	31	8	35	23	2	1
XLRV	22	24	2	33	15	4
TCPK	18	0	49	7	10	16
VHCO	56	0	39	1	1	3
LPEO	58	39	2	0	0	1
OYFL	93	3	3	0	0	1
EAFR	37	4	41	13	2	3
PIXR	94	5	0	0	0	1
PFNR	61	7	14	1	5	12
FKJQ	75	3	5	12	1	4
CTFC	85	12	1	0	1	1
RWAF	43	18	15	4	4	16
GNKZ	22	25	41	5	2	5
GZOT	43	13	33	9	1	1
WNJR	30	31	21	13	0	5
HAYB	22	44	30	0	0	4
VCNW	33	25	19	2	3	18
BXLU	46	28	11	8	4	3
XOFY	44	25	4	12	7	8
KETA	88	5	0	6	0	1
IZEZ	21	14	17	23	21	4
TNOK	58	28	12	1	0	1
ZXRB	74	22	3	0	0	1
KBAA	72	14	10	0	2	2
NXJB	66	32	1	0	0	1
YAPC	11	79	9	0	0	1
DGGI	6	17	18	50	3	6
WTUA	67	14	2	6	0	11
CXFS	48	19	29	3	0	1
IIYD	2	63	17	11	6	1
IEWE	80	16	2	1	0	1
EXID	96	2	1	0	0	1
VLUW	42	5	7	41	2	3
MSSD	52	2	26	16	0	4
FXDK	14	64	16	4	0	2
SEJF	30	8	30	21	2	9
CLTT	2	87	3	0	0	8
XAKG	58	6	19	10	6	1
AKHA	14	58	1	11	11	5
EGKP	64	30	5	0	0	1
LMXF	12	5	61	18	2	2
RLPF	67	23	1	4	1	4
XCHB	69	18	2	1	8	2
PHJO	38	7	42	1	1	11
CVHF	28	23	46	1	1	1
DYPS	48	9	26	16	0	1
CJUH	4	95	0	0	0	1
JCBM	46	31	13	0	6	4
YRUZ	12	26	37	1	4	20
GWVE	93	2	3	1	0	1
JUUH	98	0	1	0	0	1
YQMZ	13	40	25	14	2	6
OCGM	69	30	0	0	0	1
RFEQ	72	21	5	0	0	2
WRSR	16	46	0	25	5	8
SGTJ	62	10	3	4	11	10
MXCU	48	0	43	1	2	6
CHXR	14	78	1	4	0	3
PXYR	44	0	33	2	15	6
OIOX	50	27	5	6	3	9
CCER	83	0	3	12	0	2
MACV	11	84	1	2	0	2
QVLC	18	32	14	10	20	6
UFUJ	46	42	7	0	2	3
VXBX	49	26	15	1	0	9
PSFQ	63	35	0	1	0	1
WZXT	39	32	7	8	10	4
QCOI	23	74	1	0	1	1
GTIX	49	3	16	21	6	5
OEOU	13	76	2	6	0	3
RBNN	62	4	27	6	0	1
MHMG	26	14	20	39	0	1
GZNV	41	41	17	0	0	1
EVZR	10	47	35	5	1	2
CTCF	11	44	3	35	2	5
BIXJ	46	7	0	46	0	1
QVQU	53	44	2	0	0	1
AUEZ	41	33	21	1	1	3
TBWA	77	12	3	7	0	1
HUJV	67	3	23	1	5	1
SIFE	29	33	12	0	1	25
GCXJ	53	11	31	1	3	1
XQBC	50	32	10	4	3	1
VFDB	17	18	44	2	17	2
BPTJ	67	24	4	0	3	2
LYGD	96	1	0	2	0	1
VQUO	58	29	8	2	2	1
YEYS	66	14	6	11	1	2
FNYI	58	18	20	0	2	2
ORFR	90	2	5	2	0	1
CNAB	72	4	21	1	1	1
VTHV	80	3	13	3	0	1
PNBJ	68	14	0	1	14	3
PGGR	3	77	18	0	0	2
QDUV	42	1	31	0	10	16
JTWB	91	8	0	0	0	1
LTVO	99	0	0	0	0	1
QESM	88	7	4	0	0	1
PUCA	80	13	0	4	0	3
YOII	76	23	0	0	0	1
LBED	49	7	30	12	1	1
SWWH	17	65	2	4	3	9
HKYE	53	13	11	8	11	4
ZIKT	4	36	9	22	1	28
QLHY	32	59	7	0	1	1
MRJO	16	38	32	2	1	11
MGOW	80	2	7	7	2	2
LZUM	12	64	17	3	3	1
ZICB	36	12	22	25	3	2
JLEY	3	85	3	5	0	4
NURE	53	29	4	5	3	6
BAOQ	81	12	4	2	0	1
ALXJ	43	54	1	0	0	2
LMYY	18	38	23	4	12	5
FVUM	79	0	17	1	2	1
DSQM	34	20	2	12	7	25
HEJS	72	13	5	8	1	1
LDVC	9	54	34	1	1	1
AOQX	52	2	5	11	9	21
PYEQ	88	10	0	0	0	2
JMCI	9	89	0	0	0	2
ZBQB	54	42	1	0	2	1
PKQH	57	18	4	16	4	1
SVGY	85	12	1	1	0	1
VSLQ	76	3	16	0	1	4
ROKF	21	68	1	6	3	1
KBXR	12	28	7	22	17	14
ABFU	49	49	0	1	0	1
HYQM	50	22	5	11	2	10
LMPJ	77	5	17	0	0	1
ZDPD	51	16	19	10	0	4
AXBL	21	48	17	12	1	1
GXOM	45	34	2	13	5	1
YQHZ	81	6	6	0	3	4
SELH	89	8	1	0	1	1
DAHZ	80	18	1	0	0	1
YNSY	98	1	0	0	0	1
UBCT	97	0	0	2	0	1
FYAV	7	25	1	0	45	22
RYWJ	43	3	5	25	11	13
TTEQ	86	3	6	3	0	2
NKAC	82	17	0	0	0	1
FCMK	92	7	0	0	0	1
HKPA	62	16	15	2	0	5
NPCT	20	36	6	19	11	8
QPDX	14	8	21	50	2	5
AIVF	47	5	28	6	2	12
NNTP	36	26	31	5	1	1
SMXA	27	30	15	13	2	13
OJGN	73	19	0	5	0	3
HHDZ	16	72	2	6	3	1
WBFS	6	40	19	19	6	10
NABK	84	15	0	0	0	1
YATA	55	29	5	6	2	3
PTHB	76	16	3	2	1	2
ZVHV	14	15	22	25	16	8
AWLD	3	12	74	3	4	4
FVNO	38	30	0	24	6	2
DMGK	97	1	1	0	0	1
RDWP	70	1	28	0	0	1
ZMSE	16	39	3	8	23	11
XKLV	80	7	4	1	0	8
LQXC	57	2	37	0	0	4
SQDM	58	3	31	0	2	6
CYHT	31	53	10	3	1	2
TWIM	23	39	37	0	0	1
UWXQ	25	72	0	1	1	1
OLVJ	99	0	0	0	0	1
TSID	44	52	2	0	0	2
VGKP	50	3	19	0	5	23
KLSI	44	53	0	0	0	3
SKWO	39	59	0	0	1	1
IQKY	13	8	49	14	1	15
EYYT	94	5	0	0	0	1
OLGJ	92	2	4	1	0	1
MGVL	32	20	12	3	12	21
ULIP	70	28	1	0	0	1
HZLX	1	68	5	19	5	2
OYSB	23	26	17	4	6	24
HTQQ	49	42	5	3	0	1
MYSH	53	41	1	2	2	1
HPGD	24	45	16	10	0	5
QSFZ	25	42	24	5	1	3
NQMQ	30	16	24	21	7	2
BHKW	87	10	1	0	1	1
ZDMA	11	71	12	5	0	1
BMSE	54	44	1	0	0	1
JRHA	70	15	12	1	0	2
TUVL	47	10	42	0	0	1
VMNR	93	2	0	2	0	3
CWTL	28	13	56	0	1	2
HZKZ	22	50	10	17	0	1
GPZM	16	65	9	7	0	3
IRTX	85	4	3	5	1	2
RHNQ	48	16	29	4	2	1
AWGW	28	70	0	1	0	1
GPSZ	95	2	2	0	0	1
QKCD	68	16	0	11	3	2
QQDR	66	15	18	0	0	1
YLKT	67	31	1	0	0	1
WSIZ	64	30	5	0	0	1
RXET	81	10	2	4	0	3
ROYG	98	0	1	0	0	1
CWSE	60	26	5	1	0	8
JQZH	84	7	1	2	3	3
SFQV	45	3	34	15	1	2
EQSW	32	40	18	7	1	2
PNIN	37	40	12	10	0	1
HJTM	9	63	25	2	0	1
OGKQ	49	38	2	2	4	5
IMIJ	60	3	4	18	11	4
GFVZ	31	34	3	11	9	12
SSNA	94	2	3	0	0	1
YZAO	29	12	6	11	19	23
RYUQ	35	35	28	1	0	1
AOYX	55	5	11	14	7	8
AIOY	62	17	12	1	4	4
SRXQ	87	1	0	5	3	4
SBJZ	6	26	43	18	4	3
OBKX	28	57	10	0	4	1
XTHI	5	17	75	0	2	1
VKRV	86	1	8	2	1	2
CAGG	29	64	6	0	0	1
EVKC	92	6	0	0	1	1
DKAE	1	83	5	8	0	3
XTEH	23	54	8	9	0	6
QQLK	42	3	3	41	4	7
OTMX	61	29	4	3	0	3
KXAK	94	2	2	1	0	1
YXOS	71	8	15	3	1	2
GTZZ	13	19	29	29	0	10
WADL	84	11	2	2	0	1
BGSY	82	7	8	0	2	1
VWAE	17	4	21	10	37	11
FLTU	97	0	1	1	0	1
DNBW	18	60	12	6	1	3
UHYN	16	1	26	33	21	3
BRVC	15	56	26	0	1	2
YGGN	53	5	19	15	4	4
WYRH	58	20	15	3	3	1
WRHT	47	20	9	8	0	16
DAJJ	96	3	0	0	0	1
BHTV	7	45	20	12	10	6
FUCI	35	43	17	0	3	2
HFUX	20	13	6	19	26	16
FMZU	9	86	0	3	0	2
DBPU	31	2	49	1	10	7
XURS	60	36	1	2	0	1
QEBP	71	22	5	0	1	1
QKRE	26	51	10	8	0	5
ZMXT	14	9	44	6	14	13
ZNXC	50	9	21	8	5	7
DNIW	92	0	0	0	5	3
XTNZ	24	72	3	0	0	1
OXAY	1	52	11	31	3	2
BOXM	64	29	1	1	0	5
RDOU	66	2	14	12	2	4
ZZHY	17	16	51	15	0	1
MENU	61	1	16	0	11	11
TLCS	78	20	1	0	0	1
WTGZ	51	16	3	7	20	3
KDKS	71	19	2	5	0	3
QWNN	35	43	12	6	0	4
IHEI	11	83	0	5	0	1
HNRE	70	10	2	0	15	3
CBSK	40	3	46	2	3	6
QIKO	41	49	0	7	2	1
SBAL	67	26	3	0	0	4
LLEE	39	20	32	3	3	3
OXXD	52	44	2	0	1	1
USCV	7	87	2	1	2	1
WRJX	94	2	3	0	0	1
EMYB	78	21	0	0	0	1
BPOC	86	3	2	6	0	3
DQJF	76	23	0	0	0	1
GQZM	28	12	10	20	27	3
RSYC	63	19	1	5	9	3
KTUC	72	7	2	13	4	2
JYSY	69	26	1	3	0	1
WPIJ	92	3	1	2	1	1
IAZW	13	37	9	39	0	2
ZEXS	37	36	12	11	1	3
ETAC	90	6	2	0	1	1
MBVI	72	5	7	12	2	2
TNVH	74	19	4	0	2	1
AEFS	91	1	0	1	5	2
YGDH	26	67	4	2	0	1
JRLS	38	37	22	2	0	1
QXZH	43	39	16	1	0	1
NTDS	30	37	14	7	6	6
OLGX	58	1	33	2	3	3
IIUP	82	3	12	1	0	2
URVL	36	44	17	0	2	1
URJX	27	0	6	24	11	32
ASIY	45	7	7	24	4	13
FYYY	84	14	0	1	0	1
SCCO	1	42	5	2	32	18
ELAU	50	22	26	1	0	1
YVFR	28	56	6	6	0	4
AVVL	63	23	4	3	1	6
EMSX	86	5	4	4	0	1
FLLM	0	2	26	22	41	9
NAVH	12	31	11	3	9	34
VTUK	50	5	8	27	3	7
YBZU	19	25	34	4	3	15
UNVU	16	26	46	9	1	2
LWIJ	69	24	1	3	0	3
JVYI	28	18	36	5	3	10
WSVN	68	29	0	1	1	1
KBOM	59	30	8	2	0	1
APJE	61	21	1	4	4	9
HMGO	11	74	0	14	0	1
NYFK	21	22	12	35	5	5
RXFF	56	23	8	8	3	2
XRCH	43	24	18	12	2	1
IVYT	41	38	14	1	4	2
RPJC	96	3	0	0	0	1
DCXS	19	36	4	6	9	26
YGNU	86	5	3	5	0	1
QYMP	48	18	24	7	0	3
JVSH	29	2	5	25	29	10
APQM	64	8	10	14	3	1
HXTA	72	1	23	1	1	2
WOPO	97	1	0	1	0	1
OQZM	68	14	10	2	1	5
IEHG	20	56	9	6	7	2
IJCQ	39	59	1	0	0	1
ELQD	9	84	6	0	0	1
ZVFH	41	23	27	4	0	5
EPJX	15	47	25	0	4	9
GYGZ	91	4	3	0	1	1
REBJ	35	26	22	7	5	5
PBYR	86	11	2	0	0	1
MHHB	48	1	29	13	7	2
WZXT	66	33	0	0	0	1
CVGY	31	50	18	0	0	1
KPBK	18	45	31	0	0	6
OPRB	76	17	3	2	0	2
RWKZ	15	63	10	8	2	2
JNZO	9	40	0	9	1	41
UMUJ	88	6	4	1	0	1
RBBN	39	37	6	5	2	11
QLLI	91	4	0	2	1	2
EZMG	3	56	28	9	0	4
QIZW	13	16	15	45	7	4
LVDJ	28	57	3	4	6	2
PMOI	32	25	39	2	1	1
BLAM	84	10	2	2	1	1
FTHG	10	10	65	8	4	3
MVSS	98	1	0	0	0	1
RIZP	95	2	0	0	1	2
QYZM	96	2	1	0	0	1
LJJL	51	36	8	2	2	1
HJLJ	65	26	3	4	0	2
APVU	3	90	5	0	1	1
SZWB	89	10	0	0	0	1
XFUG	90	5	3	1	0	1
YGIF	12	21	21	36	4	6
URIL	70	9	2	18	0	1
YFLN	31	18	2	21	14	14
NUSH	11	8	9	57	13	2
INWQ	73	2	11	3	7	4
KMNM	11	83	0	4	1	1
JLYB	14	58	20	6	0	2
TNOF	31	62	2	4	0	1
OIMJ	3	6	50	27	13	1
ZBRT	17	30	19	25	3	6
ZHJE	88	11	0	0	0	1
EEEQ	7	28	30	18	7	10
GAKW	48	24	20	6	1	1
JZJE	85	8	3	1	1	2
CJLO	25	23	17	13	11	11
UJZJ	28	45	25	0	1	1
ZCUX	46	7	7	29	7	4
KZHP	9	61	22	3	0	5
ZRTC	54	4	40	1	0	1
UZSS	23	56	17	2	0	2
TEXH	39	31	17	12	0	1
FFGH	59	36	2	2	0	1
ZXOR	92	4	2	0	1	1
ARTO	78	12	3	6	0	1
GSHG	48	31	15	4	1	1
DNKV	23	21	16	33	4	3
SCGJ	54	0	36	5	1	4
QQKS	90	5	3	0	0	2
