Name	TMPQ	KLVF	CPJM	XGUX
SVLE	42	44	2	12
LFQO	36	45	14	5
ZVVT	43	52	4	1
YMGP	34	11	7	48
AEUR	76	7	10	7
RAVQ	32	14	30	24
DZGO	54	45	0	1
ZBQW	60	8	24	8
JFOC	59	3	15	23
BWXP	39	10	15	36
UZDC	70	10	16	4
NABU	17	72	0	11
CDUE	9	76	4	11
VHOT	13	13	3	71
DJYD	83	16	0	1
CNTX	85	14	0	1
ENHK	20	31	47	2
SCLH	32	66	1	1
SPJO	20	60	7	13
RCRI	92	6	0	2
QAGG	87	6	4	3
THIY	75	2	9	14
GNVN	97	0	1	2
XKIQ	20	36	22	22
KQCH	60	37	0	3
CEBL	49	13	36	2
IBQL	67	32	0	1
PVVY	50	32	12	6
QYPR	2	15	27	56
QGQD	13	27	10	50
IUBM	1	42	33	24
IRFN	48	4	39	9
VGIC	30	26	20	24
GMUM	11	54	23	12
VZHN	66	8	6	20
AUMM	21	10	19	50
GJDN	6	47	39	8
ZIBV	93	5	0	2
HHZX	80	18	1	1
SXZV	84	9	5	2
MWPC	24	12	63	1
CQYB	11	75	11	3
RGSS	53	7	29	11
NMPK	22	60	9	9
MDSF	93	0	3	4
MMTR	54	4	7	35
QBWS	6	64	1	29
RHCH	41	1	55	3
JARA	39	27	21	13
MGVE	78	6	3	13
UYAZ	6	53	36	5
LTSE	9	45	37	9
WPXN	3	56	4	37
LBRE	64	20	2	14
VANH	38	52	8	2
IBIJ	45	4	46	5
HZWH	95	3	1	1
QXRT	72	2	8	18
WJVK	0	74	16	10
SFWS	65	32	1	2
OPEP	50	9	7	34
CUWS	76	12	2	10
CWOR	76	13	5	6
SMYL	33	19	26	22
UZPH	86	1	1	12
IMEF	88	1	8	3
PZSG	23	32	27	18
IIBW	37	4	50	9
CGDE	89	6	1	4
UGKX	40	7	41	12
JJLW	41	41	1	17
NFFC	87	12	0	1
ROKM	3	22	16	59
GBBZ	52	20	22	6
SIIV	30	58	11	1
YPAZ	37	46	9	8
AXBA	69	28	0	3
SZKJ	89	6	0	5
IKXX	27	22	42	9
XXHO	9	43	34	14
ZKNR	48	33	4	15
DZZV	51	33	15	1
IXMK	27	60	8	5
EDCC	43	42	1	14
AUMP	42	23	26	9
OXSK	91	8	0	1
LXBT	63	30	3	4
ZVDV	64	3	25	8
HLOB	90	1	1	8
ENGC	26	18	42	14
ATAJ	93	2	3	2
FAIU	91	4	0	5
ZIUU	31	66	0	3
LDJA	78	1	5	16
KVRJ	58	33	8	1
BDLS	66	0	3	31
KGGZ	56	3	7	34
ELIY	28	35	20	17
QQJE	35	32	26	7
FRLI	74	2	22	2
EIBQ	93	1	0	6
WCAF	99	0	0	1
JJKH	31	26	17	26
MCOI	53	14	7	26
PVQV	97	0	0	3
DGII	31	36	24	9
OIYJ	42	33	20	5
HAAL	71	15	9	5
FNIK	87	10	0	3
HJKA	83	3	3	11
DCZA	85	9	5	1
UQYC	72	11	4	13
UQKG	71	8	19	2
SZYL	70	13	4	13
YNIP	35	38	4	23
YBKW	87	9	1	3
XJHD	42	0	29	29
TATD	92	2	2	4
DAOD	20	55	20	5
CPNJ	80	2	15	3
OZKV	52	22	21	5
PQHH	44	41	3	12
NPML	26	54	16	4
AWSR	7	58	28	7
UUUQ	87	8	0	5
AJHK	85	9	3	3
KHWT	95	3	1	1
ABYN	38	3	31	28
DSEL	83	16	0	1
WNRO	8	2	45	45
GFBK	13	25	39	23
OWXD	2	25	54	19
TVCM	60	25	13	2
RCYA	60	27	6	7
TEEW	57	2	32	9
WXDG	76	21	1	2
WHIV	73	2	3	22
RPCM	38	37	14	11
CCKN	59	4	30	7
RSGL	20	75	4	1
YZGV	75	8	13	4
VPFW	60	16	1	23
PCJF	45	12	32	11
USSE	78	16	1	5
OCJN	13	21	49	17
QWQQ	23	59	4	14
NFRZ	69	22	0	9
QWGT	72	3	3	22
GNRZ	62	23	4	11
NVIM	16	27	56	1
GTOF	45	27	7	21
NBEC	0	13	80	7
FDUK	13	52	13	22
JZQP	15	83	0	2
JINN	39	4	22	35
DRNH	61	33	4	2
LMXQ	47	19	9	25
SOBA	72	16	10	2
TYPH	51	13	5	31
TROP	6	49	4	41
LGDN	75	16	8	1
MTZR	62	27	7	4
TLNR	46	27	10	17
TYZC	57	23	13	7
VJAK	82	3	3	12
IYNZ	94	5	0	1
EPQX	55	22	0	23
FAYP	2	70	19	9
HDKE	11	19	45	25
KZGU	53	18	12	17
NZSN	52	4	25	19
IJFA	4	65	18	13
IBVU	46	30	0	24
UCUV	76	15	6	3
QJCA	10	53	26	11
BGBN	63	4	32	1
UFDB	53	2	3	42
XLZB	83	6	7	4
XXST	45	43	8	4
ACZY	9	79	3	9
VTHV	44	2	0	54
XQTF	57	29	9	5
XCYH	20	0	11	69
IJTE	32	17	39	12
CDDL	17	68	1	14
SSGK	33	47	0	20
GYOW	10	89	0	1
ZBRX	86	1	6	7
JORD	78	5	13	4
MPUK	86	8	1	5
KSWW	30	9	5	56
KFHF	26	47	3	24
CMOI	70	17	4	9
DOHO	45	12	32	11
JTMG	36	59	2	3
IUAO	97	1	1	1
JJXN	60	26	5	9
DFCE	5	81	3	11
DPIW	90	3	0	7
LVZX	70	16	11	3
SNTS	18	29	41	12
FJAW	57	15	6	22
NKBH	8	29	10	53
ESSB	5	87	7	1
OYQX	12	52	15	21
SILW	49	24	25	2
FHZI	97	2	0	1
LXPQ	21	48	16	15
VBQD	44	49	4	3
LKZL	76	19	4	1
BQLP	84	3	12	1
KSTC	10	0	9	81
AAGX	98	1	0	1
HUTB	59	10	24	7
XAWF	99	0	0	1
GEAJ	36	36	11	17
IXAI	87	7	2	4
KSOU	91	8	0	1
VROG	98	0	1	1
RWXC	93	4	2	1
VGOQ	33	32	34	1
WSSS	68	12	9	11
IIKC	11	58	12	19
MMCJ	40	51	5	4
ADFY	86	8	3	3
MAEP	47	39	13	1
YVNH	78	0	7	15
OMAV	4	34	21	41
TLGY	61	13	21	5
OMUV	74	24	1	1
IGMQ	90	4	3	3
ROBP	82	5	6	7
RECV	27	15	42	16
OYRW	41	7	20	32
ITMB	10	43	10	37
FOED	90	7	0	3
WEIU	4	33	55	8
HRAM	72	3	18	7
IVUM	33	9	19	39
VPOS	80	5	7	8
QYRJ	41	38	14	7
UJBJ	76	12	0	12
CMPK	34	31	31	4
SKQO	65	25	0	10
OTCG	9	38	34	19
TICH	48	3	26	23
MTDO	63	11	18	8
CZIL	78	12	9	1
OAUT	92	5	0	3
PZDR	8	34	20	38
EMCW	41	20	9	30
QNAA	42	19	18	21
TTUH	84	11	0	5
HHOO	42	20	33	5
TAXO	93	2	4	1
MGPJ	23	54	20	3
NUTN	29	50	17	4
FIJG	64	6	26	4
FOIZ	98	0	1	1
NDMM	97	1	0	2
MFYP	1	29	54	16
MUBD	63	1	19	17
RNHH	19	4	20	57
SHKG	34	0	0	66
RHAI	16	47	27	10
CLQQ	86	1	9	4
TGWJ	31	24	36	9
PEFU	48	0	40	12
YOJR	29	54	13	4
NBUM	46	43	6	5
CRRI	96	2	1	1
ANXA	64	7	2	27
DVNR	56	41	0	3
XGYO	33	62	1	4
FBWW	55	10	18	17
MNLN	47	43	9	1
AMQQ	56	32	4	8
FGUX	85	6	1	8
KSTQ	59	29	9	3
MAEC	96	2	1	1
HCEC	12	21	58	9
UIXT	20	70	9	1
UCYS	82	5	0	13
VSXW	10	12	42	36
MMOP	16	60	22	2
EQVS	16	25	37	22
JVWK	84	12	2	2
YFKD	22	46	14	18
JGFA	10	29	19	42
WJEA	15	5	47	33
LDZR	2	41	25	32
WAMG	33	58	4	5
GDMY	12	43	36	9
JQSB	97	0	1	2
MSJR	73	2	11	14
CLMF	16	82	1	1
GSTT	46	42	7	5
FSCA	56	34	0	10
NGPB	10	82	3	5
IDPP	78	1	3	18
SZTY	50	14	4	32
XYHN	53	44	0	3
AGQE	29	28	25	18
EWDB	6	12	75	7
OEER	72	12	7	9
SJBB	50	47	1	2
IIOO	98	0	0	2
WYLM	65	19	8	8
DPXL	14	18	23	45
UDVV	49	39	3	9
XPCU	45	54	0	1
OPMC	1	60	27	12
GSEB	87	12	0	1
TEQJ	73	6	11	10
ESTM	35	64	0	1
JISF	57	29	8	6
ZKJD	60	25	7	8
KQTQ	81	14	0	5
KMLS	74	8	6	12
XTPR	60	29	9	2
JMWH	27	72	0	1
TGFD	61	0	29	10
CAWO	25	60	14	1
WGMV	35	12	5	48
RTMZ	89	6	0	5
DWIO	75	9	10	6
FFPD	30	43	21	6
SSDJ	92	7	0	1
FKMX	80	13	0	7
NTDS	39	44	15	2
EOAN	42	17	26	15
BWRB	57	12	29	2
AJQZ	66	17	15	2
LVQY	73	14	9	4
MLKX	89	9	1	1
EDWN	66	30	0	4
NUWG	35	8	26	31
KMTS	21	0	56	23
SJOR	74	24	1	1
LHDR	42	24	29	5
FULZ	62	28	9	1
BTSJ	42	14	2	42
ZRER	87	10	1	2
THVY	95	2	0	3
NSOY	69	18	2	11
SHTP	25	57	12	6
QVHI	68	16	7	9
QZAO	60	16	11	13
MQBR	15	72	6	7
AELT	64	31	1	4
JLCQ	5	72	2	21
LNPH	7	58	30	5
TOJC	17	58	5	20
RRXC	91	1	4	4
RWPA	64	7	7	22
NXYO	65	12	1	22
DLKC	21	51	7	21
QBQM	17	5	53	25
UEND	61	21	13	5
RAGL	43	34	5	18
QLON	35	10	29	26
FNAS	49	15	1	35
UYOM	13	50	27	10
TKKA	80	5	6	9
LEQU	3	3	0	94
QCYV	90	1	5	4
QMLD	23	55	19	3
CRZH	3	49	41	7
ADMO	88	1	8	3
JJXM	27	3	10	60
VQQG	43	9	4	44
YZXO	55	25	6	14
MRMA	52	6	24	18
ZMHA	5	75	5	15
CNRZ	66	25	2	7
BIBP	34	50	1	15
EOZI	53	20	23	4
SLLT	91	5	3	1
DJFJ	37	50	10	3
LGPX	82	1	7	10
JKKE	37	30	26	7
XHRN	34	28	15	23
CFFT	18	31	45	6
YWFZ	95	1	2	2
IJLS	35	27	13	25
ABON	7	5	22	66
CNWA	36	25	14	25
BJDQ	70	16	5	9
OFFK	18	8	43	31
XGVZ	1	5	6	88
DRFC	32	43	21	4
IJYP	90	3	1	6
AIBQ	88	11	0	1
WIDX	94	4	0	2
HBAJ	33	19	43	5
SXNJ	89	5	1	5
VHVH	77	7	14	2
YTID	9	56	10	25
ICFJ	97	2	0	1
HXGO	4	32	19	45
KNHZ	45	12	0	43
BHQE	33	18	17	32
ISFG	66	20	5	9
VIAX	80	3	9	8
JPSS	99	0	0	1
FBDQ	40	17	12	31
VPFQ	42	40	17	1
FAIJ	72	26	1	1
FGBQ	3	44	35	18
RXLI	68	26	0	6
QCPH	33	5	0	62
TVHK	48	30	3	19
PKJH	66	32	0	2
VBZJ	82	10	1	7
RTIT	88	10	1	1
XSCK	84	8	3	5
LUGO	87	6	0	7
NCBA	84	1	12	3
APXN	48	45	0	7
BYQP	71	17	8	4
RGWV	40	32	10	18
GTVY	9	3	15	73
QGSA	74	19	6	1
CFXJ	68	13	7	12
VPYE	91	3	4	2
WEFL	57	19	18	6
WCOK	84	13	1	2
SYOZ	84	12	2	2
AZLS	11	88	0	1
DWUE	61	13	20	6
BNPE	28	9	15	48
CIZV	54	43	0	3
RJEB	65	8	22	5
ETSL	46	19	25	10
FTFG	52	31	11	6
LZUO	64	12	22	2
RMXO	5	26	31	38
MPDY	10	84	5	1
TWSV	76	12	10	2
OUPA	27	35	9	29
KKNA	90	8	1	1
HVWK	8	25	50	17
ECHK	72	21	4	3
CCTW	83	0	1	16
SHOU	79	4	1	16
FPYF	4	33	30	33
BVKR	22	10	26	42
SIPO	70	16	4	10
HUDB	84	6	5	5
NIQH	7	62	29	2
MIFR	42	11	3	44
GIEP	92	5	0	3
ZYGC	64	27	8	1
VVDF	93	6	0	1
MUKD	46	23	6	25
ZJWH	35	15	1	49
LYMY	70	16	7	7
JJEL	89	0	7	4
NCMM	29	39	24	8
NUML	27	57	15	1
OJVH	54	40	2	4
WRGF	35	61	0	4
KFSO	40	35	12	13
HJUB	67	8	23	2
EZML	76	13	8	3
AJDJ	15	22	39	24
LFGY	61	25	1	13
OTXW	20	40	11	29
AAFW	62	17	14	7
RUUP	37	19	17	27
WPFG	32	57	9	2
DNDB	61	30	5	4
GOOO	6	48	45	1
IXMN	80	18	1	1
LMJG	32	49	13	6
ERQW	65	15	17	3
NCVA	66	3	12	19
FGAH	79	8	6	7
RTSN	92	0	5	3
BUUH	6	83	0	11
XYRK	7	10	69	14
URND	80	7	2	11
FIYN	31	14	27	28
YXJT	38	9	23	30
IASP	22	25	16	37
HIXS	30	47	19	4
CFJD	68	16	13	3
LWTT	68	18	13	1
AIRR	95	1	1	3
QVOP	4	84	11	1
ZAVA	52	30	15	3
SZQS	64	22	12	2
DYVN	74	8	4	14
AFAI	29	28	18	25
JVNQ	62	34	1	3
VYTE	95	0	1	4
IBZI	76	13	5	6
WSBH	53	30	16	1
VURG	22	32	14	32
ECBA	69	12	6	13
ACJU	21	74	3	2
EBAN	82	17	0	1
DMIC	26	37	0	37
ECYS	71	0	4	25
ZXHB	16	13	60	11
PRNI	70	8	13	9
SQSK	46	43	0	11
PSYL	91	2	5	2
ALBN	92	4	0	4
DTLR	78	14	4	4
VVUO	22	29	21	28
LFIG	21	10	25	44
FJQG	85	0	8	7
FLVU	76	10	8	6
XGTR	12	45	34	9
XEWR	92	3	2	3
GTGS	37	52	10	1
JVKY	67	31	1	1
JYUL	94	5	0	1
ZOOC	62	21	5	12
FTOY	59	0	40	1
SOBK	59	26	7	8
LITL	56	9	18	17
FCFZ	54	0	12	34
ESQT	26	47	4	23
BVZB	94	3	2	1
KSBJ	21	3	39	37
GUQB	36	49	0	15
RJYB	98	1	0	1
WLQI	0	35	25	40
NTJQ	59	34	5	2
KDQI	96	2	1	1
XZSX	86	2	4	8
MBAY	89	1	5	5
GLAF	69	4	19	8
AGLT	92	1	1	6
FHSA	96	2	1	1
MYLD	21	0	2	77
SJRS	72	6	2	20
SQDH	60	8	27	5
SHDY	91	0	2	7
TIYY	52	29	15	4
NOCM	13	60	8	19
XTBF	0	13	43	44
RPTJ	38	5	42	15
RIEH	89	8	2	1
BTUF	61	13	5	21
BBUM	51	26	18	5
NBTX	96	3	0	1
SEOD	52	2	39	7
GXEG	95	1	3	1
AHAK	79	6	9	6
NYWW	55	41	0	4
GLKY	95	4	0	1
OFBC	28	24	37	11
DPGO	15	80	2	3
UTNE	48	22	5	25
FRHZ	12	63	0	25
MUIZ	47	29	11	13
CYHN	96	3	0	1
JQHK	98	1	0	1
RWTM	45	7	15	33
NUCE	61	30	6	3
VYOR	39	1	40	20
UFRN	60	31	7	2
BZPD	6	51	33	10
YONA	41	8	29	22
EFJJ	6	65	15	14
SSSP	62	30	7	1
RCYW	33	29	17	21
UNAO	22	71	6	1
JBQZ	88	1	6	5
AIEN	10	30	19	41
GWOL	75	21	1	3
MOEC	69	3	10	18
RIUV	77	15	2	6
RBPT	70	8	14	8
UUIG	10	12	43	35
RMCM	4	58	34	4
MMXE	96	0	1	3
ZJSI	68	31	0	1
UYSB	57	26	11	6
UWWP	98	1	0	1
WSJS	4	41	10	45
PSOT	6	28	52	14
KPXK	16	82	1	1
NKLM	98	0	1	1
QBPZ	40	20	4	36
RIPQ	54	17	6	23
GDHN	32	60	3	5
GYEV	84	2	4	10
HYGB	21	40	37	2
QYTQ	96	2	1	1
HIUQ	60	25	3	12
GDYR	33	20	17	30
DLEO	19	62	7	12
KIPI	86	3	6	5
EOWJ	22	50	27	1
QJFG	50	4	2	44
UHKW	21	45	18	16
NPCU	89	4	6	1
ZFHT	38	41	1	20
PCHC	64	14	10	12
BYIR	68	10	13	9
BELQ	68	2	19	11
YUPI	28	7	41	24
EXMD	41	58	0	1
FCUO	16	2	39	43
QTCF	4	24	67	5
AWCS	59	16	16	9
ISUJ	30	59	9	2
BVOH	34	26	33	7
BRCN	3	16	23	58
ANDG	85	10	0	5
BKLV	57	24	16	3
KZFW	18	50	19	13
YNYS	85	1	13	1
EZEO	24	27	15	34
FRDL	14	62	23	1
LDLT	82	17	0	1
RXQW	55	30	1	14
ZEOZ	62	7	27	4
KGHI	20	44	7	29
ICLB	89	6	2	3
JMYA	10	25	33	32
COSR	68	7	5	20
MOLN	53	5	0	42
XELQ	42	27	10	21
UFVR	6	55	23	16
RPZN	90	3	2	5
SOQN	33	0	57	10
NZNJ	50	24	12	14
IMKR	81	3	4	12
IXAQ	63	21	12	4
YMAQ	75	17	1	7
PUCC	46	25	8	21
GHIO	10	12	27	51
DOVC	17	82	0	1
RQXS	40	3	31	26
NNST	76	6	12	6
SHPJ	71	0	2	27
PSBN	45	24	25	6
XEOO	71	24	4	1
EFKB	41	43	11	5
UPVJ	86	8	2	4
HGTM	99	0	0	1
XVEY	61	28	6	5
IEEB	43	45	6	6
BFHH	27	25	38	10
DGEP	80	8	7	5
YVCS	54	38	2	6
KFCU	1	13	39	47
KQHL	84	13	0	3
ALES	93	1	4	2
PZJV	28	69	1	2
JBIW	95	1	2	2
ZFNG	21	26	38	15
PWDY	57	17	23	3
JYAP	55	21	19	5
FTZS	16	7	1	76
PZOX	55	23	1	21
GRMS	94	0	5	1
DFWS	55	20	0	25
DIHK	82	15	2	1
LNNB	24	53	0	23
WPBA	89	9	0	2
HNWP	42	47	1	10
NCAP	64	0	16	20
RHMT	63	11	20	6
DYRS	34	62	0	4
QURR	58	36	4	2
UKUK	6	60	31	3
KMLP	68	18	2	12
IPHG	56	14	4	26
PFXC	86	12	1	1
IIYB	14	54	28	4
XSIO	66	29	3	2
LGCQ	38	1	18	43
FKKA	53	31	2	14
EWHF	76	0	2	22
EMOO	92	2	2	4
WYRX	45	24	4	27
YVLM	84	9	0	7
YOBP	96	2	1	1
VBJX	87	7	1	5
TOCL	72	24	1	3
MSCC	21	2	17	60
AWSX	39	60	0	1
YMYZ	58	30	0	12
XHAP	84	13	0	3
HIAD	71	22	3	4
VYNT	68	15	13	4
ERZM	61	2	29	8
BEMD	17	24	33	26
LCNJ	17	1	61	21
ORUR	21	60	2	17
OKFX	24	17	43	16
QACF	81	7	2	10
DNZO	47	47	2	4
VAJN	44	3	32	21
ZEVK	29	47	11	13
UHGY	7	77	12	4
CKDJ	62	19	7	12
EVDT	86	10	2	2
KVKU	16	9	48	27
WHVN	72	20	2	6
GTQK	6	53	30	11
PGEV	55	9	29	7
JRQL	91	6	1	2
LWDX	72	4	5	19
DIVX	77	0	20	3
CNIU	18	80	1	1
PGZP	91	7	0	2
PECV	98	1	0	1
WMMI	40	30	14	16
YIYU	16	78	1	5
EIQS	77	13	8	2
QEHV	35	47	9	9
DTCU	4	7	18	71
AWMU	47	16	25	12
XBVT	88	2	4	6
WMCF	40	59	0	1
IFNB	78	20	1	1
OWZD	85	0	2	13
MEYH	26	11	44	19
DMBM	50	6	11	33
HZPQ	8	88	2	2
RYTR	38	54	2	6
EVQA	17	22	24	37
HEXD	83	9	1	7
SLPH	81	10	2	7
WKMT	9	39	42	10
FFPW	27	25	45	3
QLLI	85	12	2	1
VRMG	41	31	26	2
MDKP	35	4	19	42
LDGC	83	10	0	7
YHGO	18	19	6	57
ADYY	66	10	1	23
SZNR	89	9	1	1
BFHX	28	45	4	23
HEGA	27	64	7	2
JFRF	29	59	5	7
ALQR	76	6	12	6
ETKY	70	10	18	2
CZQX	60	36	2	2
YSYK	41	11	16	32
TVLP	4	26	2	68
TRFN	37	28	4	31
LVBO	53	45	0	2
GBIR	91	6	0	3
TRHJ	6	35	23	36
YYIR	8	79	4	9
HKKG	46	32	11	11
WWVW	23	5	35	37
UDXD	53	45	1	1
AYEI	8	67	12	13
XTXL	10	82	7	1
QYLL	14	47	34	5
VMMV	30	63	1	6
VLNO	88	4	2	6
MFYJ	86	0	13	1
DXLD	15	44	6	35
FMRK	42	6	9	43
LSMU	82	6	0	12
IJXF	53	32	1	14
SNBH	52	43	3	2
OBSE	38	0	37	25
YVDL	27	7	2	64
NLPA	68	28	3	1
NNXQ	84	0	7	9
YQCX	19	41	35	5
RUQL	31	32	13	24
OTTG	58	3	7	32
BLGV	0	86	0	14
NUNO	99	0	0	1
FBOB	58	6	30	6
RZPJ	42	26	31	1
UDJG	92	2	5	1
EWBE	64	31	0	5
ACXI	33	23	15	29
SFEZ	94	2	1	3
MQMP	40	1	43	16
QEHB	84	2	0	14
ENXY	26	52	14	8
XSBC	10	57	1	32
YEGZ	93	3	2	2
FPPG	84	6	3	7
XQGM	21	23	30	26
SHBR	63	27	5	5
YLMH	38	42	13	7
ZACX	66	11	21	2
YHSK	30	19	50	1
CUPX	34	34	8	24
XFHH	71	3	7	19
DDYL	71	20	8	1
PEPO	95	2	2	1
AJGI	46	31	19	4
QXKB	16	34	4	46
VUPY	20	54	20	6
DTYP	57	2	20	21
QAIJ	93	3	3	1
VBZG	55	18	14	13
FNKO	28	60	9	3
JZPT	90	9	0	1
PHTX	52	18	29	1
XBRF	92	1	6	1
TQSR	27	18	50	5
GOBH	21	56	5	18
ATQA	50	0	12	38
TFJA	2	51	15	32
MTIJ	61	30	5	4
IXCQ	72	26	0	2
TSPI	66	25	7	2
IAFK	22	57	20	1
KIQG	72	16	9	3
USXP	93	4	2	1
VNKU	6	82	11	1
NTSJ	79	9	1	11
SDYK	3	64	30	3
OMJA	34	39	26	1
ZRSS	12	14	35	39
MUQE	86	13	0	1
OXXY	11	55	2	32
PZFX	94	4	0	2
BAUS	28	1	37	34
CAQR	30	46	5	19
IIGE	67	0	32	1
OMBG	97	2	0	1
SMVE	38	13	21	28
UWLO	96	1	1	2
XGHU	95	4	0	1
QZSG	77	6	8	9
OSMI	13	10	28	49
NVMY	45	43	6	6
MUPS	63	18	12	7
FULA	4	14	5	77
NCXP	94	5	0	1
DZGV	24	9	24	43
LUWN	6	65	5	24
EDOD	76	19	1	4
YBHC	97	0	2	1
SOIN	83	5	3	9
VIWK	37	19	34	10
ZONZ	45	48	2	5
ZJME	14	77	1	8
XZTH	81	7	8	4
GOAG	35	55	3	7
URTK	49	27	22	2
NTCN	42	38	14	6
FWIS	43	6	46	5
JDDO	93	0	5	2
ZNTC	2	95	0	3
RSUQ	35	18	18	29
FQTK	72	27	0	1
SROY	74	11	6	9
NQVO	48	9	22	21
GJLK	67	18	7	8
DNBC	82	9	1	8
NJEF	8	64	7	21
VFEH	54	35	1	10
CZCW	10	79	10	1
GIZB	42	31	15	12
EMVY	91	2	0	7
GQJK	47	12	16	25
EGDD	77	8	0	15
OYFS	63	6	8	23
BFER	16	60	16	8
SIJQ	51	6	34	9
ITMQ	64	20	1	15
BVXQ	18	40	26	16
NQFH	9	68	5	18
LETH	50	36	6	8
YUNG	21	20	12	47
FTCZ	59	7	32	2
JGAZ	22	3	12	63
RDIK	38	35	24	3
OTID	85	9	0	6
BKKZ	23	31	14	32
XCHM	57	11	2	30
YSIH	67	9	5	19
QEVV	67	10	15	8
ZTWT	54	37	2	7
WQAZ	63	31	4	2
ABYV	31	56	7	6
AAWE	34	60	2	4
GODO	9	57	31	3
ILTA	45	42	1	12
CHHA	42	25	20	13
CXAJ	50	4	44	2
TZOF	88	10	1	1
CWLN	23	67	6	4
PEUW	4	48	44	4
SODX	47	41	1	11
QDFP	54	43	1	2
LFVO	86	6	0	8
LWMF	57	39	2	2
TFNL	57	2	2	39
KKHK	11	43	21	25
TFYR	92	0	1	7
ZYHE	3	88	2	7
SQSX	86	8	5	1
XRDZ	89	5	0	6
UOET	99	0	0	1
QONQ	81	6	10	3
HFHO	13	68	13	6
TONG	85	9	4	2
OUSA	59	4	7	30
KDLB	36	37	1	26
CFGB	27	6	42	25
MWKT	73	8	0	19
ZQND	93	6	0	1
TUPF	23	45	27	5
CVMT	20	52	18	10
JGFP	51	9	2	38
YHHW	79	3	7	11
MYXL	71	27	0	2
LQVA	50	37	4	9
AYZN	66	11	14	9
KIOL	66	0	28	6
MIJL	41	25	20	14
XPIM	69	10	19	2
PJOA	44	39	15	2
JHID	82	14	0	4
QJAB	93	3	3	1
HLPC	31	53	1	15
IQBZ	99	0	0	1
YZKF	32	62	0	6
BBIP	63	18	5	14
FIKT	85	14	0	1
XZYD	92	6	0	2
QGEV	10	27	42	21
JPVP	57	37	1	5
KHMR	26	60	1	13
IQFD	74	12	0	14
AMCK	12	4	35	49
UETN	19	50	26	5
TPDH	9	3	44	44
SLLR	98	1	0	1
QYSJ	81	12	2	5
CTFL	81	15	2	2
CTEB	19	21	34	26
BBWQ	44	28	9	19
BRTD	11	9	11	69
FBEJ	96	1	1	2
VYVH	20	70	5	5
RHPU	66	25	5	4
WVSJ	13	1	3	83
CLHS	73	12	13	2
RARF	77	21	0	2
DAJG	62	28	3	7
KEJL	35	36	9	20
FLAV	47	31	16	6
MNPM	40	40	19	1
HXOX	81	7	9	3
VJDN	26	49	17	8
HYGJ	92	4	1	3
ORKH	32	32	23	13
MUTF	7	34	6	53
GUOO	18	45	14	23
CWIF	92	0	1	7
PJCM	9	47	31	13
FEPM	89	1	3	7
OJHF	29	42	1	28
DRVT	2	7	42	49
VBCK	44	25	27	4
LQTZ	84	6	0	10
QZBH	43	4	27	26
MBAQ	44	7	21	28
RHTB	45	14	16	25
CNCL	66	14	2	18
TOFL	19	0	42	39
RULP	99	0	0	1
