Name	YKVQ	DEXE	ERWN
QUNH	17	57	26
FZEB	37	49	14
OUYG	68	25	7
YVFT	75	12	13
TZXR	95	4	1
WTIH	28	67	5
WGBZ	70	20	10
WSVY	14	12	74
ICZG	63	32	5
MWAA	52	9	39
UNAE	18	52	30
MHNZ	40	26	34
TZCO	86	0	14
RVVT	34	57	9
ZQCL	80	8	12
XVSV	18	14	68
QSNF	48	45	7
QIRO	51	32	17
TYAZ	37	44	19
JAED	17	46	37
OAMC	8	53	39
SXUY	91	1	8
NMIY	12	87	1
FLCL	68	28	4
KYLA	46	8	46
ZMOY	65	16	19
KNGC	84	9	7
WVAV	42	52	6
KLXE	95	3	2
LCIP	69	4	27
DSLQ	93	3	4
PPVW	53	28	19
TCPM	59	34	7
WONN	62	1	37
GUNU	49	28	23
DVVD	96	0	4
EFXP	23	64	13
CNXH	44	47	9
EZNM	72	3	25
QPCK	38	7	55
XVCG	72	20	8
TQDL	32	25	43
YHIR	43	5	52
DYJS	64	18	18
BQCS	50	18	32
BTVU	68	13	19
TWUE	53	39	8
SSQD	54	20	26
UYEZ	26	31	43
TFEO	20	6	74
PBDU	38	35	27
OEPX	92	4	4
HZLN	99	0	1
XYCR	89	6	5
FBMK	1	48	51
GEQS	55	20	25
SYIB	57	16	27
VWAP	68	9	23
ZGFG	67	9	24
ZYEO	55	13	32
CDDC	67	24	9
YPKZ	80	1	19
PVJS	81	0	19
OQKF	41	45	14
HZNJ	72	16	12
HEJA	98	0	2
GTFH	65	3	32
WALD	65	29	6
XHDE	0	92	8
XWSJ	82	12	6
FOWV	69	20	11
ROVX	46	4	50
UHZH	32	27	41
IDIR	45	24	31
MCEL	10	8	82
SWXN	4	9	87
GBIU	45	5	50
AAVB	36	46	18
YQOI	4	66	30
JOCK	34	38	28
MGLT	20	48	32
EHFW	3	25	72
BORG	65	15	20
QKTL	49	24	27
OKVF	15	41	44
AVST	30	14	56
QGUF	88	0	12
NBPH	24	37	39
ADXQ	77	21	2
VBTZ	20	64	16
UYDT	87	2	11
OIGM	60	15	25
QKNR	93	3	4
WGDI	20	2	78
PJBU	90	2	8
MRBZ	42	54	4
YTEK	73	24	3
GONN	98	0	2
KEDI	10	85	5
RMTC	14	43	43
DTKZ	0	94	6
IRZP	73	4	23
GMNG	6	61	33
NCJS	38	46	16
DDOC	33	64	3
EVQR	26	71	3
MGNP	17	27	56
JULY	6	58	36
LKKC	59	2	39
DLJR	86	12	2
KFIA	41	52	7
OOFO	74	20	6
DYXB	32	39	29
IECY	66	31	3
OCGO	54	38	8
PVKR	19	77	4
AIJO	40	30	30
KXRP	97	1	2
ECCU	36	44	20
ULOK	46	17	37
QZAJ	95	4	1
KLTY	4	94	2
FUTP	52	36	12
GZDP	37	28	35
SULS	89	8	3
KPWB	90	4	6
MAYT	18	42	40
XFBD	59	24	17
YFYU	17	40	43
FBQO	66	5	29
MSOZ	54	21	25
CDWJ	10	43	47
UMUP	67	4	29
KPEW	78	15	7
VPKK	83	14	3
UXJU	26	35	39
ZXRP	3	43	54
SOCL	99	0	1
SQJM	16	6	78
ZQXV	18	77	5
BSIA	55	8	37
DAFI	62	28	10
LVOT	13	18	69
PJPS	69	6	25
MITH	82	11	7
ODTT	53	15	32
DSAX	32	66	2
LJZQ	0	33	67
NFMS	23	63	14
IIAC	54	10	36
LVEP	75	12	13
ASHG	60	17	23
FSAQ	27	23	50
FWIK	76	14	10
DWXX	41	13	46
IAEU	45	27	28
UWQN	60	11	29
BHQB	50	25	25
USAS	89	7	4
XABP	43	51	6
PCHB	91	5	4
GKGN	84	6	10
SSGA	35	31	34
ZCJJ	12	63	25
EQDL	86	5	9
LFKS	90	4	6
AZJA	79	1	20
GGWQ	99	0	1
LXRP	60	14	26
OFZO	88	3	9
LVOV	8	59	33
ZZUT	1	36	63
CYHG	11	77	12
WOQY	0	97	3
TWPB	15	57	28
MLCB	59	40	1
NKEF	62	0	38
JSWI	47	35	18
BHCD	71	9	20
RMUO	9	19	72
BYVD	25	43	32
GAJH	73	18	9
SQYP	57	12	31
CLKY	0	85	15
OJSU	37	6	57
EYIY	15	59	26
EGLH	5	41	54
ITOK	42	3	55
JCXN	46	35	19
VDXZ	55	39	6
WMRG	11	69	20
JTMG	40	19	41
WVJZ	61	9	30
HEYR	40	17	43
FRMR	14	1	85
UFSO	42	33	25
UBQU	4	65	31
ODRP	65	22	13
HWNR	67	13	20
YFBJ	5	41	54
HSPM	46	10	44
QHKU	18	45	37
PNDH	9	24	67
PPAV	37	18	45
NCOH	64	8	28
NKAF	47	17	36
BCRM	96	1	3
GMRZ	6	13	81
HRCU	75	11	14
KMII	96	1	3
QIQE	27	56	17
OKBU	19	0	81
PDQQ	57	38	5
QNAK	2	96	2
DSQO	77	0	23
ZTDI	84	10	6
TCFX	42	38	20
CMLC	20	51	29
UUXL	68	13	19
IGHQ	2	53	45
DZQA	78	9	13
WHHA	90	4	6
RTCJ	30	37	33
NANA	76	23	1
DOCS	97	1	2
ICCR	77	10	13
ABSA	22	71	7
JUWL	78	20	2
IZYT	12	87	1
ACFQ	90	2	8
IEHR	66	27	7
KZYR	33	15	52
VMUP	65	33	2
DSTD	38	0	62
QOYC	65	23	12
GKEM	68	1	31
PRDB	3	77	20
ZRQS	92	5	3
FKLG	51	10	39
MFUH	3	8	89
WIIH	41	55	4
CJVT	99	0	1
VBRZ	14	61	25
JYQI	88	2	10
FZXY	99	0	1
GIQB	20	58	22
MSGS	62	21	17
VLKM	41	27	32
OMBB	91	0	9
LNKC	6	39	55
BDJI	49	34	17
IUWY	51	21	28
MRIC	51	21	28
VTOK	40	30	30
LEKO	59	27	14
HJQV	65	17	18
EMYS	13	54	33
QPZP	60	9	31
UJAZ	24	23	53
WQSW	89	3	8
HUFE	63	4	33
UQAV	89	0	11
NDPY	80	16	4
NVOE	77	5	18
RIDI	97	0	3
UIPQ	44	19	37
LLZW	81	18	1
FYLZ	47	6	47
SXVX	33	4	63
TCAY	49	15	36
ZMRA	3	55	42
KWRG	52	17	31
VRAQ	97	2	1
URWA	62	2	36
FWZN	89	3	8
IMYR	86	4	10
HEYW	57	25	18
LLJM	7	61	32
BCDE	15	69	16
LZVP	80	3	17
OXZI	91	0	9
KEUQ	34	51	15
XXCG	56	7	37
STUI	46	42	12
EDID	20	72	8
NRKT	30	47	23
QCNI	6	83	11
WKTJ	30	16	54
SFKR	90	0	10
JGLF	15	65	20
SHZX	13	59	28
KDPK	63	17	20
QJRX	47	2	51
AVWC	41	0	59
MWTI	40	3	57
GLYT	62	30	8
XYHC	95	0	5
QHOY	1	54	45
KLUK	18	25	57
XQWZ	40	16	44
XBSO	16	17	67
NWTW	1	50	49
TXWR	45	6	49
LOVF	93	6	1
HWGQ	84	0	16
YYOA	16	73	11
MCDJ	43	7	50
VNLG	64	9	27
LGET	54	39	7
LSDT	24	22	54
ZWAT	93	0	7
YSTA	18	29	53
ZBDS	39	25	36
NBFZ	20	47	33
VFJS	57	19	24
TTWV	39	34	27
CCOJ	29	64	7
NLBV	76	11	13
STIS	21	16	63
BARL	90	7	3
SGDH	26	33	41
NDRO	60	12	28
VETI	45	42	13
NALX	97	2	1
DANQ	77	9	14
XREV	63	1	36
TFEQ	31	43	26
UEDZ	88	0	12
MTOX	92	7	1
IUHH	15	22	63
YWJH	67	31	2
DAOS	55	11	34
QXSU	10	72	18
SDDM	17	1	82
WZTH	50	41	9
ULBX	68	14	18
HNME	86	12	2
MUFH	28	1	71
FNSM	58	0	42
DLRI	43	38	19
FWNS	92	0	8
ESFG	50	29	21
INHG	0	40	60
VOSS	8	89	3
DIWB	75	5	20
TYCV	97	0	3
JUWC	11	50	39
VYAD	15	4	81
SXLH	52	42	6
ZMTO	58	25	17
FDZZ	47	29	24
NMOH	89	2	9
OSLD	90	1	9
YAEV	32	59	9
UMKF	83	8	9
GVEG	89	10	1
PVMM	60	26	14
NLZF	72	23	5
LVPQ	59	23	18
LKVC	20	79	1
DIRB	2	6	92
BIVM	54	3	43
RMKN	31	59	10
WOTP	75	0	25
XQFP	78	10	12
ENQM	31	20	49
ZLLY	18	32	50
AZHN	95	0	5
EYCY	22	50	28
FOOQ	18	32	50
VLNI	29	2	69
MEEC	51	43	6
LYJJ	57	33	10
TJRC	44	47	9
KFHZ	24	57	19
TIGB	8	69	23
WSRG	5	73	22
YBKF	51	13	36
GWZU	91	7	2
STZS	91	0	9
TMYK	36	11	53
QJWQ	50	43	7
CMIX	15	31	54
KFSA	71	11	18
TYLL	31	24	45
UEUP	48	29	23
VOSG	55	6	39
KQJD	68	13	19
MVPP	27	50	23
JTUO	64	14	22
TFBN	85	4	11
CMAT	6	56	38
RERO	58	3	39
AQGA	95	2	3
TEXC	24	56	20
UGXH	49	17	34
BXUA	3	20	77
KSTZ	93	0	7
AUER	54	45	1
DTGP	73	18	9
LZGH	96	3	1
SKRI	49	34	17
HZPB	60	8	32
SUFU	5	42	53
PCSX	14	65	21
CMEC	59	1	40
ZDTZ	28	39	33
KSHM	39	33	28
KCDA	88	11	1
LQYU	68	27	5
BUGX	22	1	77
MFKO	7	43	50
LTNR	37	21	42
DCSE	52	2	46
QBPF	63	35	2
CELX	89	5	6
HNMH	98	0	2
EVAR	57	5	38
LUHP	65	20	15
EXGF	29	11	60
LHOL	44	49	7
AOVA	38	53	9
VWDM	1	68	31
BYML	77	19	4
RNNW	74	25	1
FCFI	85	10	5
QSJD	64	0	36
HLKK	75	19	6
MRXO	15	28	57
RZMS	77	21	2
JDUW	77	6	17
RNAK	84	4	12
IXIL	16	27	57
LHTT	40	5	55
CRYW	63	32	5
FYYL	77	11	12
FLRD	74	5	21
UBVP	25	17	58
AFUE	23	38	39
EPTS	75	3	22
IUWD	17	74	9
JWDV	24	55	21
RINN	95	1	4
HNKS	86	5	9
CBSL	28	12	60
TNRO	79	20	1
IRWX	23	29	48
CFZC	50	45	5
ZQQK	44	14	42
SQXM	3	11	86
EYPZ	5	70	25
BCOO	19	23	58
LJHA	61	25	14
KAOV	45	36	19
NJBL	82	3	15
BWQT	73	8	19
UDEG	3	38	59
JLLJ	93	0	7
ZSAG	5	3	92
OJMY	45	37	18
RPHJ	47	16	37
QSPZ	20	38	42
MEZE	45	0	55
FEKZ	45	5	50
EVVP	19	29	52
VWRM	56	18	26
CZYD	70	7	23
MANN	75	22	3
BKXL	71	8	21
GSDE	20	52	28
NBNG	13	28	59
VAPO	5	45	50
BCLE	49	22	29
PQBY	53	36	11
LJEJ	19	69	12
HYUH	61	25	14
SFWE	70	21	9
HNJL	39	37	24
VCFS	58	23	19
PONT	78	16	6
ELVT	26	9	65
STMU	45	14	41
PKYJ	65	0	35
KAZO	54	5	41
QOIF	71	1	28
DZLC	0	27	73
WNGG	73	17	10
DBQY	12	14	74
QGXM	31	52	17
UQXS	10	62	28
UMAL	64	16	20
VMKR	47	6	47
TEHI	42	28	30
MRLE	57	20	23
DQRR	31	26	43
KELO	44	13	43
PRKE	13	56	31
TZTU	73	3	24
MMFK	23	31	46
GPXO	32	67	1
UDEA	26	23	51
RFTB	71	21	8
CIOU	44	33	23
SIXO	20	67	13
EAXA	31	57	12
IBIK	40	59	1
MSSL	11	48	41
JLTL	28	66	6
WLEI	83	0	17
CFYI	84	4	12
KRWX	72	18	10
KSXO	31	50	19
WGFJ	17	64	19
CTSZ	16	72	12
RZGI	31	13	56
BEWL	6	42	52
RMSC	2	57	41
AHDL	44	31	25
USAE	23	7	70
OKMA	22	57	21
KBJS	51	7	42
WKFT	70	20	10
BZSD	97	2	1
SGOR	53	28	19
EXYU	92	5	3
YQGZ	69	29	2
FHTZ	55	1	44
JBAI	9	23	68
JKLQ	30	68	2
ETNU	56	27	17
FCMO	79	1	20
LCHT	91	6	3
DTRN	29	33	38
PVUR	40	30	30
GIIG	78	20	2
KLTD	76	10	14
NVGY	89	0	11
ZPMT	50	28	22
HRMB	18	61	21
VOSZ	30	32	38
SEHI	34	31	35
YZZG	97	1	2
FQXU	69	24	7
AMVT	97	0	3
MJGZ	29	14	57
TONU	21	56	23
SQGA	81	9	10
PBRZ	83	9	8
VBWX	97	2	1
QYFE	86	13	1
FYRT	47	22	31
YLLF	9	6	85
NZRI	16	76	8
LMNS	15	20	65
JWOS	16	21	63
NNTH	81	16	3
VVPG	5	38	57
CQYU	37	62	1
DIUH	76	9	15
LMUL	40	37	23
WGGE	68	18	14
HGEU	47	17	36
IELD	61	20	19
HOMP	55	38	7
MFTK	83	5	12
BKLY	40	48	12
DYYJ	48	6	46
VIVM	95	2	3
YIWG	14	71	15
EHRL	70	13	17
VXKV	72	2	26
WKTP	98	1	1
OXCI	75	5	20
AZHD	43	28	29
LVGP	78	2	20
DSFM	54	26	20
SZPT	58	23	19
VIJE	69	7	24
TVNM	41	42	17
ERMX	39	56	5
VHPQ	48	14	38
LBJN	61	29	10
PGKS	31	7	62
EGCA	85	14	1
PRHN	31	59	10
CVPS	92	2	6
ZFWC	73	16	11
WGFT	86	2	12
HMJJ	74	3	23
UVLQ	3	78	19
ZYTN	39	48	13
EXIC	73	2	25
GCNM	13	52	35
TVUD	20	67	13
MTBM	88	1	11
XIEB	10	70	20
WJVK	58	40	2
VFTG	11	59	30
PIRV	88	2	10
AVTX	1	65	34
SSAF	20	32	48
YFZT	61	29	10
TIGW	29	70	1
CFQK	87	7	6
KBLY	3	25	72
BYJE	69	27	4
YPAI	32	61	7
SVSY	5	52	43
ZEOT	80	15	5
AIVL	81	2	17
YZES	69	20	11
KOQJ	91	6	3
ZTXS	70	0	30
WMAX	99	0	1
SIDO	14	31	55
BMUW	38	21	41
TZDA	52	22	26
XPGW	73	1	26
XIQU	58	13	29
DBZH	98	0	2
NVLH	30	30	40
WDJO	98	1	1
WVYO	97	1	2
QWPC	67	27	6
TGXM	74	8	18
JLAU	52	33	15
BQHV	97	1	2
RIIX	91	6	3
JPCP	66	4	30
UKEP	54	2	44
NKKB	19	44	37
SCHG	49	17	34
CVXZ	42	19	39
MVID	10	15	75
FUTX	98	0	2
NLCG	28	40	32
FPDU	21	64	15
LCCT	49	43	8
FVZV	10	64	26
SKIF	85	6	9
UVCE	73	0	27
GWNI	75	20	5
ESPN	70	29	1
CLHX	65	5	30
DSJJ	54	41	5
GZTS	1	39	60
SGJB	52	30	18
IXBE	63	14	23
CERI	13	34	53
DWEY	6	1	93
RWIQ	6	71	23
BLRF	82	8	10
QAXQ	58	31	11
CYBY	27	26	47
FYWJ	58	5	37
GTEJ	36	42	22
ISVH	12	15	73
SXJG	69	3	28
MNHK	83	1	16
YTPY	41	7	52
XRWO	98	0	2
GGRG	29	62	9
XUVX	22	29	49
AZGT	87	0	13
WVXB	41	36	23
CKHS	39	26	35
HEXH	98	0	2
LGFK	50	1	49
HBNF	95	2	3
WDVU	69	4	27
DEWB	16	76	8
PFKK	58	2	40
MSZV	31	44	25
VLIX	78	7	15
CWLW	83	4	13
QMMT	14	69	17
OJBI	80	6	14
QXML	73	6	21
LBVE	96	0	4
VGKM	95	1	4
MTJE	76	2	22
OSOE	24	70	6
ONQA	27	63	10
XQDE	40	46	14
KLNG	91	8	1
KCLU	83	1	16
YLDJ	88	0	12
RGUX	59	17	24
PVZN	59	12	29
DHIO	75	7	18
OIUR	78	3	19
NUSO	6	76	18
SNTD	50	7	43
ZMWC	63	3	34
XWMD	64	19	17
SJSV	82	9	9
FAMQ	40	47	13
SATE	79	1	20
OAUE	60	10	30
LLSS	74	23	3
RJDD	85	10	5
DXRF	92	3	5
RICB	38	37	25
JTCK	56	28	16
UNUL	37	24	39
VNHP	94	0	6
QPEB	4	85	11
KICH	51	12	37
EKBC	34	64	2
VHVN	37	20	43
XRNH	37	26	37
FCKB	41	47	12
LHSE	1	22	77
OMAN	26	73	1
ITEH	76	15	9
FDFW	14	31	55
JCZR	10	38	52
WCZG	65	1	34
HQHP	95	4	1
IKKN	96	2	2
GXIS	85	4	11
PPDJ	81	17	2
GXJP	63	5	32
ACCC	2	14	84
KPEH	53	34	13
YVDI	41	12	47
CDGR	65	2	33
XXUI	34	4	62
OSTG	50	44	6
ODWE	33	16	51
DIBK	39	59	2
UXME	48	25	27
XILA	20	8	72
IBHC	74	20	6
ZSIG	79	5	16
IXVA	55	15	30
AMNV	54	19	27
PJGH	34	10	56
MNYT	83	4	13
ZAOG	44	39	17
QOCF	82	10	8
RXUC	99	0	1
PNNV	50	18	32
OSJE	77	6	17
IOCN	4	51	45
UUBV	19	79	2
IKOR	59	18	23
JJNG	17	26	57
UDNF	67	24	9
IMUW	86	3	11
MDWG	29	15	56
RTIN	52	5	43
UXCX	78	8	14
TCKT	75	22	3
APCH	48	38	14
EMNI	17	37	46
PDCI	57	17	26
AGPK	38	48	14
QLRK	11	67	22
WTKY	21	55	24
DJHP	34	3	63
OMSQ	31	44	25
HLNZ	74	13	13
IQFI	65	1	34
BUJU	45	24	31
BQXJ	17	19	64
DKXO	83	15	2
BZCA	8	63	29
FWZW	62	22	16
MVRF	53	26	21
SUAH	58	28	14
SYGH	86	4	10
QUUI	25	49	26
YASR	55	27	18
LEAI	88	4	8
OXXI	83	0	17
WUKL	30	11	59
LYZR	25	64	11
VEOA	27	37	36
WAGL	81	7	12
QKBX	75	24	1
LHYS	46	25	29
GNSO	23	48	29
PUYE	49	35	16
UNQJ	49	40	11
VKZA	79	18	3
DOEA	22	76	2
XCSC	77	17	6
UIUP	83	0	17
MMXI	8	22	70
IBUD	90	0	10
NGSU	41	40	19
LOOY	24	30	46
ZSTW	57	7	36
AFPY	53	15	32
ZUMY	69	5	26
FUER	58	22	20
BZXD	14	22	64
LNFN	34	25	41
MMMP	13	60	27
MOSK	80	12	8
FNWK	76	11	13
FIDF	78	12	10
HWBI	49	1	50
CMLC	43	11	46
RPRM	18	2	80
VREH	90	6	4
JBTT	29	0	71
GHSX	31	17	52
PDBR	28	22	50
EDCR	71	4	25
VSDC	39	6	55
KAZM	93	3	4
HIFL	81	2	17
NUHK	88	0	12
ZDKW	9	70	21
NSIP	95	2	3
WEXP	50	15	35
HDFP	39	57	4
CTIY	17	77	6
XKVC	11	22	67
SNXF	96	0	4
DSKQ	56	27	17
GXHZ	11	65	24
VJTL	75	8	17
LOOK	68	17	15
TTBQ	87	12	1
JCEZ	49	35	16
OMER	69	8	23
RXHC	29	53	18
NHTO	74	10	16
RSAW	87	10	3
OQBH	59	1	40
OVWB	88	3	9
ETWH	72	21	7
GQMI	13	51	36
FVIU	30	53	17
RSQJ	12	6	82
FJIG	54	21	25
XLKN	39	60	1
OKAG	60	8	32
IGML	6	72	22
RUNC	36	11	53
QUQU	5	32	63
LZCZ	41	40	19
FSKI	22	69	9
TLCK	3	84	13
PUIO	57	33	10
YUCF	85	9	6
JTJR	80	12	8
DJVU	23	27	50
JIOQ	33	62	5
BGTT	20	22	58
AXKI	3	59	38
PAWV	98	0	2
OCQM	27	49	24
AUOY	19	18	63
GIMD	13	52	35
VPOC	62	34	4
FUIF	20	18	62
NOJB	7	21	72
IPZC	72	12	16
TCSE	8	63	29
ELWG	96	1	3
XMMS	26	35	39
JVOI	44	35	21
WEGG	83	9	8
QTWD	34	35	31
FBSQ	6	70	24
JGPZ	16	51	33
TPIM	72	25	3
WKQB	29	65	6
LXQI	61	7	32
NUDY	48	10	42
TSTV	94	1	5
BXZQ	48	12	40
FDBY	25	69	6
XETU	19	11	70
DBQK	46	19	35
MVCD	72	27	1
EBML	0	39	61
YULJ	9	43	48
EOOF	2	31	67
LZNP	67	29	4
ORLQ	15	57	28
DCKB	78	4	18
LMEJ	85	6	9
STYE	22	71	7
VHUU	68	23	9
MOKO	90	3	7
ZHQT	25	74	1
CDTJ	74	14	12
EBDD	88	10	2
YJLN	81	16	3
XIKR	58	8	34
UWOV	39	34	27
UYNY	8	9	83
EMOF	63	22	15
QIRM	62	20	18
XMMU	86	12	2
PKNO	54	40	6
ZIRO	33	63	4
KAHI	34	22	44
IRSU	4	22	74
NIGA	94	5	1
CACO	36	42	22
OPXR	22	23	55
YBAT	5	58	37
GODD	46	10	44
FUJH	2	20	78
QYKT	48	16	36
WVQQ	76	17	7
KQLK	86	13	1
FUHQ	79	8	13
VYOX	35	37	28
HGPS	4	25	71
XFOS	88	2	10
ZQUJ	72	23	5
TVYK	7	22	71
YZEA	92	4	4
TZMB	32	33	35
DSPE	48	34	18
LNXB	64	6	30
PLFS	14	46	40
RXEJ	77	1	22
CXHA	92	7	1
TXHH	24	1	75
GOIG	96	2	2
JWIZ	40	29	31
IBVY	40	25	35
HUYN	7	52	41
KKPZ	31	50	19
WHFF	48	30	22
FKYQ	0	89	11
SCNU	68	28	4
CUNW	99	0	1
CSMU	85	8	7
YJOQ	11	9	80
HDOG	74	0	26
MRUA	81	18	1
BPSS	88	6	6
FAIT	11	68	21
CLOJ	69	19	12
ICAK	49	28	23
IWBN	38	20	42
RBXN	71	7	22
VFMA	40	6	54
UOAU	13	27	60
MCYE	69	22	9
YQDE	39	1	60
MSQZ	8	6	86
WOSH	53	22	25
DHRX	61	36	3
NNST	5	26	69
JNJE	56	2	42
DRVL	56	31	13
MVLY	90	5	5
PEOM	0	40	60
ABBE	62	32	6
ISQI	60	23	17
SSAR	17	71	12
QRTZ	39	48	13
MPQD	14	76	10
SXMY	12	43	45
AYBZ	14	72	14
BEFW	22	14	64
OYZS	84	5	11
RBRG	68	1	31
FEPT	61	28	11
CUPN	63	8	29
VROX	89	2	9
PQJL	59	8	33
XAAE	27	4	69
VUGA	75	24	1
GIOM	78	10	12
PAHT	89	2	9
UUEL	65	2	33
RUOJ	85	8	7
RXMN	70	25	5
YUXO	63	21	16
RCVX	85	8	7
XDDW	39	30	31
XJDF	32	66	2
KXMY	80	17	3
ZBIL	80	1	19
HFDP	75	14	11
GUYA	46	39	15
MVNZ	64	11	25
STMY	13	64	23
CTHY	93	5	2
FLIA	56	7	37
JHQO	96	2	2
BKLT	46	52	2
JZKA	72	1	27
PICK	50	0	50
HHVD	77	0	23
KLHI	63	13	24
SEUY	88	8	4
HJHI	59	39	2
JFSG	42	12	46
CYUP	27	49	24
SXQK	34	1	65
SAIB	29	39	32
GRLJ	10	14	76
TZRW	75	13	12
HDAB	23	53	24
PCXC	23	75	2
BXAG	61	22	17
QIYE	0	74	26
TTWQ	86	4	10
ZVEC	13	18	69
AQUQ	47	9	44
RDLM	28	15	57
DMID	23	34	43
QCDH	28	35	37
VZGO	12	35	53
VZTU	24	73	3
UZVT	50	42	8
HHLQ	46	20	34
ZWPS	47	1	52
CSJH	79	10	11
YCAA	66	10	24
MJGJ	35	15	50
PWPH	97	0	3
BFMW	59	10	31
VCNS	72	14	14
PMFI	79	8	13
VHQD	16	9	75
DPNJ	11	52	37
LUTJ	24	44	32
ACMU	21	44	35
UTQS	76	21	3
AGCE	45	38	17
KXBJ	73	26	1
TLZX	29	65	6
UGGQ	31	48	21
YBBB	33	27	40
MKVQ	32	57	11
MGJB	96	1	3
NQJM	2	74	24
OXLS	93	3	4
QKYJ	26	29	45
QIPQ	89	3	8
EDDD	42	3	55
OTHX	9	61	30
JLAH	49	22	29
YUMI	98	1	1
XCZY	39	38	23
TXTA	33	60	7
QKMK	14	17	69
FTIH	2	81	17
JIVD	67	3	30
WVDF	25	23	52
CPIQ	15	16	69
XICD	66	2	32
ZOQG	11	21	68
QPCD	58	2	40
UPFQ	17	41	42
TLED	32	36	32
